,Word,Frequency
1661,crimin,5
1272,apd,5
1532,maintain,5
924,method,5
1036,show,5
878,consist,5
917,keep,5
883,unabl,5
1322,fraudster,5
1614,parliamentari,5
969,august,5
973,teacher,5
1053,aok,5
1508,supplier,5
1012,offici,5
715,resolut,5
1747,pass,5
863,rule,5
1054,organ,5
1903,togeth,5
747,mechan,5
1904,helplin,5
823,minor,5
822,rather,5
755,uwv,5
1138,audit,5
1910,thai,5
1912,co,5
1146,member,5
1913,weekend,5
1151,theft,5
1914,night,5
1403,next,5
1174,ospedaliera,5
1413,c,5
1916,misconfigur,5
1902,dial,5
1388,holder,5
1750,food,5
1361,apart,5
722,automat,5
1059,defin,5
1068,proportion,5
1186,situat,5
1241,attach,5
1082,regularli,5
1959,foodinho,5
845,age,5
837,last,5
1463,inquiri,5
1221,protocol,5
1093,facebook,5
1900,sweden,5
1099,direct,5
1901,topic,5
2031,monsanto,5
1079,elect,5
1683,scan,5
69,commission,5
26,consum,5
646,biometr,5
6,bill,5
642,attend,5
348,appeal,5
591,discov,5
246,repres,5
392,whose,5
507,screen,5
626,everi,5
368,categori,5
388,current,5
298,mean,5
548,intent,5
166,circumst,5
165,mitig,5
371,warn,5
615,octob,5
190,upload,5
638,facial,5
271,polit,5
35,point,5
309,give,5
312,complet,5
569,pandem,5
265,factor,5
664,complianc,5
584,seven,5
461,seriou,5
462,competit,5
795,photograph,4
1050,function,4
174,suffer,4
566,airlin,4
802,caller,4
1511,appoint,4
56,signatur,4
331,countri,4
839,electr,4
840,suppli,4
1280,physician,4
1783,measur,4
572,summari,4
797,autom,4
1055,occas,4
356,usernam,4
1496,highlight,4
340,simpl,4
1083,particularli,4
185,excess,4
1076,hous,4
800,execut,4
1529,frequent,4
1070,sound,4
559,believ,4
804,depart,4
818,long,4
558,compromis,4
1522,stuf,4
181,penalti,4
555,fraudul,4
1063,telekom,4
553,traffic,4
1497,drug,4
1419,instead,4
528,workplac,4
478,regardless,4
417,deni,4
2125,meter,4
423,consider,4
1359,consequ,4
1449,itali,4
1362,floor,4
1432,addresse,4
912,outsid,4
1370,dsi,4
968,voluntarili,4
476,moreov,4
525,latter,4
962,main,4
922,irregular,4
1392,beyond,4
443,pose,4
2166,china,4
930,tim,4
949,guidelin,4
1400,agent,4
459,durat,4
945,preced,4
1453,shift,4
1844,slide,4
414,assum,4
412,evid,4
2026,practition,4
1033,regular,4
377,inter,4
1031,enterpris,4
784,yet,4
1483,uoou,4
1482,czech,4
378,alia,4
380,electron,4
1331,type,4
512,practic,4
511,opinion,4
508,match,4
393,dispos,4
1346,hdpa,4
1847,surgic,4
394,remain,4
885,transmiss,4
159,propos,4
153,district,4
407,cancel,4
319,adopt,4
1961,algorithm,4
578,expos,4
1260,proof,4
2145,omonia,4
1632,loan,4
1631,approv,4
628,maximum,4
1730,greek,4
236,mistakenli,4
230,approx,4
2144,ac,4
1611,cypriot,4
1897,cnpd,4
1896,luxembourg,4
1238,carrefour,4
211,march,4
1739,careggi,4
210,known,4
1744,previou,4
301,rousseau,4
1639,thousand,4
1212,verif,4
1647,clarif,4
1695,fastweb,4
1684,qr,4
268,huf,4
1676,della,4
663,demonstr,4
1185,treatment,4
1197,smartphon,4
279,cyber,4
652,board,4
702,vreau,4
1199,human,4
262,govern,4
689,photo,4
2070,deliveroo,4
258,learn,4
255,interest,4
1167,naturgi,4
1582,ward,4
1738,universitaria,4
2142,fc,4
581,european,4
23,kzld,4
1561,ill,4
199,famili,4
1276,diagnost,4
1110,de,4
1112,extern,4
585,uk,4
1569,login,4
770,paid,4
767,upgrad,4
1576,hard,4
1102,sim,4
766,money,4
2141,apoel,4
1268,director,4
1577,drive,4
33,conclus,4
1839,courier,3
977,stolen,3
1840,later,3
130,accus,3
433,judg,3
2162,toll,3
413,simpli,3
1172,temporarili,3
253,supervis,3
989,reject,3
1206,ticketmast,3
249,mayor,3
975,fair,3
410,concret,3
1411,sau,3
1170,pretend,3
1177,nazional,3
1369,latvian,3
439,meanwhil,3
315,mention,3
2168,chip,3
1190,popul,3
1195,lithuania,3
1196,pa,3
1278,discharg,3
1399,kft,3
119,hold,3
2147,favrskov,3
1279,treat,3
1389,construct,3
1386,fill,3
1097,start,3
128,unless,3
2140,soccer,3
965,scanner,3
1274,term,3
1382,standard,3
325,achiev,3
1374,understand,3
280,anonym,3
1080,lejr,3
1298,nationel,3
399,cost,3
1142,research,3
1295,takecar,3
1326,bilbao,3
374,whistleblow,3
1037,almost,3
1325,banco,3
1324,revok,3
1239,banqu,3
294,affili,3
1041,home,3
1859,subpoena,3
1941,retain,3
1248,educ,3
1250,interfac,3
1251,signific,3
1263,miraclia,3
1124,hand,3
1123,stick,3
1861,accordingli,3
1122,usb,3
357,pupil,3
1261,doubt,3
1259,ten,3
1116,reserv,3
1327,vizcaya,3
1231,plan,3
1299,patientöversikt,3
1230,futur,3
1160,front,3
161,turnov,3
1010,usag,3
201,fund,3
285,problem,3
1874,restaur,3
1015,entranc,3
162,entir,3
1291,shown,3
227,hacker,3
390,past,3
223,life,3
1022,lesse,3
1023,leas,3
1934,inspector,3
1073,residenti,3
1265,prank,3
1898,asset,3
1069,stress,3
1094,disabl,3
1328,argentaria,3
1953,immun,3
1936,audio,3
941,iberia,3
1091,guarante,3
110,passeng,3
1501,exam,3
570,industri,3
40,repeat,3
1530,success,3
1528,usual,3
1524,entrust,3
938,unsecur,3
42,prepaid,3
2101,probat,3
551,like,3
550,airway,3
549,british,3
1513,deactiv,3
1778,lssi,3
1502,held,3
535,erron,3
1556,healthcar,3
848,threaten,3
1495,medicin,3
1493,pharmaci,3
851,unknown,3
1492,inspektsioon,3
1491,andmekaits,3
1490,estonian,3
1785,sensor,3
518,back,3
868,select,3
869,hora,3
870,ifn,3
874,avoid,3
502,minut,3
1552,usl,3
587,starwood,3
882,energi,3
1616,support,3
670,leakag,3
1691,rom,3
1693,la,3
1696,aggress,3
1664,gender,3
647,argu,3
697,raiffeisen,3
700,score,3
704,return,3
7,neighbor,3
1719,envelop,3
710,brows,3
1721,lot,3
1627,second,3
720,wish,3
1568,ucd,3
623,improv,3
1609,clearli,3
616,haga,3
1598,vdai,3
737,berlin,3
741,entri,3
602,fulli,3
1587,manual,3
593,dilig,3
1580,bologna,3
752,accur,3
589,acquir,3
1755,intrus,3
759,display,3
880,partial,3
1523,shop,3
913,aegean,3
889,srl,3
1806,disqu,3
1438,broadcast,3
470,fals,3
911,entiti,3
923,invalid,3
1820,belief,3
2012,young,3
490,registri,3
1450,desk,3
1455,statu,3
474,defici,3
2017,tiktok,3
1460,product,3
936,prohibit,3
1416,e,3
1807,visitor,3
914,marin,3
501,per,3
915,petroleum,3
1461,deliv,3
456,pln,3
212,resolv,2
1376,banca,2
1428,towarzystwo,2
1889,previdenza,2
124,pleas,2
1599,nvsc,2
1887,behavior,2
1600,quarantin,2
1264,telecomunicacion,2
1573,environment,2
1601,spring,2
1602,sprendimai,2
1373,sia,2
1572,besid,2
1888,istituto,2
1255,gpdr,2
1595,unit,2
1253,rel,2
1430,reasekuracji,2
1751,deter,2
1429,ubezpieczeń,2
19,statutori,2
1746,footag,2
1383,mri,2
129,uncompl,2
1258,inact,2
1603,sėkmei,2
1252,grade,2
1742,unknowingli,2
1249,subsystem,2
1741,printer,2
1754,le,2
202,divorc,2
74,dossier,2
1229,six,2
1705,partner,2
1654,late,2
256,directli,2
1655,worldwid,2
1202,fake,2
1698,preliminari,2
1201,critic,2
1404,ltd,2
1405,supplement,2
1692,servizi,2
1824,leav,2
1689,ordinari,2
1688,zone,2
1687,windshield,2
1686,affix,2
1685,badg,2
1679,san,2
1410,iberdrola,2
1205,handl,2
1649,close,2
1227,cumh,2
105,recommend,2
1604,vari,2
1605,degre,2
1737,routin,2
1393,extent,2
1818,pvv,2
1732,contradictori,2
1618,becom,2
1731,candidaci,2
103,taxi,2
247,annual,2
1396,idegenforgalmi,2
1397,és,2
1398,szolgáltató,2
1193,biolog,2
1210,host,2
2151,powerpoint,2
1648,assur,2
1814,url,2
1270,mental,2
1566,outstand,2
1772,came,2
1459,bucharest,2
2164,passag,2
1845,congress,2
1458,amsterdam,2
1452,except,2
1782,ensched,2
1451,item,2
1843,chirurgia,2
1316,pictur,2
1307,melior,2
1863,icb,2
1842,triveneta,2
1312,nok,2
1516,son,2
1517,possess,2
1864,inaccur,2
134,iddesign,2
1865,appar,2
1354,option,2
1786,wifi,2
1486,misus,2
72,satisfi,2
1348,colleg,2
1798,finnish,2
1469,analyz,2
1344,inde,2
1343,polska,2
1796,role,2
1342,virgin,2
1465,migrat,2
86,destruct,2
1340,suspect,2
1462,restor,2
1849,spent,2
1472,sp,2
1337,cloud,2
1335,male,2
1855,palermo,2
1473,z,2
1867,filter,2
1868,meant,2
1563,idfin,2
1549,pregnanc,2
1540,faster,2
1282,wc,2
1879,dental,2
1541,neg,2
1544,mother,2
1547,voucher,2
1435,explan,2
1548,sampl,2
1550,advanc,2
1302,cosmic,2
1813,mainli,2
1764,text,2
1431,warta,2
1557,sector,2
191,rental,2
1763,tourist,2
1559,framework,2
1761,recogn,2
1539,robot,2
1537,strategi,2
1283,cabin,2
1536,focu,2
1518,thereupon,2
44,knowledg,2
1841,società,2
182,ground,2
1294,sjukvård,2
1525,subject,2
1526,wave,2
1293,aleri,2
184,basic,2
1527,malici,2
1365,door,2
1437,station,2
1531,balanc,2
1436,televis,2
1533,gdr,2
1534,slow,2
1535,combat,2
1194,republ,2
283,command,2
1192,replac,2
2095,guglielmo,2
1009,event,2
595,done,2
1007,signal,2
1005,ass,2
1981,creation,2
2091,retali,2
995,clarifi,2
994,incorrectli,2
2092,discrimin,2
424,expressli,2
984,engin,2
753,ga,2
431,sport,2
2093,background,2
756,werknemersverzekeringen,2
588,hotel,2
974,rank,2
2057,amazon,2
2120,materi,2
764,blackmail,2
2094,aeroporto,2
768,better,2
769,firewal,2
1017,deem,2
2024,romagna,2
1024,council,2
725,se,2
622,forc,2
723,deutsch,2
351,daili,2
2135,en,2
2134,channel,2
1049,mailbox,2
361,unprotect,2
724,wohnen,2
2133,insecur,2
367,therebi,2
2132,go,2
1025,ca,2
726,archiv,2
728,permiss,2
619,dozen,2
730,serv,2
2131,flow,2
611,decemb,2
736,structur,2
2130,specifi,2
738,inadmiss,2
604,align,2
1994,multipl,2
778,cvv,2
2065,higher,2
959,payrol,2
2039,influenc,2
481,aganc,2
2112,key,2
2111,lifestyl,2
821,classifi,2
2110,midtjylland,2
829,blind,2
830,featur,2
833,netflix,2
836,allegedli,2
492,behaviour,2
496,footbal,2
498,laliga,2
881,enel,2
544,safeguard,2
506,pub,2
2021,mondial,2
846,overdu,2
534,happen,2
864,planet,2
857,english,2
519,microcredit,2
861,version,2
809,lower,2
2043,europ,2
561,varieti,2
944,expir,2
441,rang,2
447,imperson,2
1997,mermaid,2
448,borrow,2
1999,nearli,2
950,stipul,2
2096,marconi,2
577,global,2
576,guest,2
574,inc,2
567,emphas,2
926,singl,2
452,attempt,2
454,ineffect,2
2117,scholarship,2
2097,aicompli,2
796,ing,2
934,clear,2
798,settlement,2
931,exchang,2
2003,matter,2
801,royal,2
2136,mass,2
387,entrepreneur,2
2086,languag,2
1133,sum,2
2069,mere,2
694,ignor,2
292,retriev,2
695,inappropri,2
1938,brico,2
1939,privé,2
1940,prospect,2
295,movimento,2
1134,left,2
1129,graint,2
1100,incomplet,2
2083,jö,2
296,stell,2
1120,franc,2
2084,bonu,2
1949,moss,2
706,vuel,2
1954,pregnant,2
1107,newspap,2
1105,wherebi,2
1143,express,2
1144,seen,2
1145,b,2
290,low,2
665,consult,2
2148,laptop,2
1183,financ,2
674,adress,2
676,memori,2
679,oslo,2
1171,configur,2
1922,section,2
1923,shortli,2
1924,overview,2
1165,air,2
1925,orthodont,2
654,exempt,2
1929,mostli,2
653,reli,2
685,merchant,2
686,eid,2
1150,mapei,2
1148,committe,2
1955,vaccin,2
2025,abort,2
627,week,2
1098,increas,2
1086,østfold,2
313,rais,2
1096,eu,2
1958,fleet,2
1075,noth,2
707,abil,2
343,major,2
336,land,2
2137,habit,2
631,licenc,2
1077,staircas,2
713,accept,2
1072,especi,2
2085,said,2
2034,societi,1
2078,explicitli,1
1771,shortcom,1
2035,journalist,1
1690,mainten,1
1727,ospedalieri,1
2100,zgierz,1
2090,enrol,1
2071,meticul,1
2036,activist,1
2037,scientist,1
2038,farmer,1
1694,mobilita,1
2099,lawyer,1
1726,istituti,1
2040,debat,1
2041,renew,1
2042,glyphos,1
1697,complex,1
2044,credibl,1
2045,normal,1
1725,unsubscrib,1
1773,basaren,1
2032,figur,1
2033,civil,1
2103,lie,1
2029,trento,1
1734,proofread,1
2028,sanitari,1
2027,provincial,1
2173,enough,1
2073,far,1
2104,garbag,1
1735,discrep,1
2074,flat,1
2178,task,1
1784,crowd,1
1733,asker,1
2105,sens,1
2063,nextstepag,1
2072,geoloc,1
2077,outdat,1
1774,drift,1
1777,pagamastard,1
2098,actamedica,1
1728,bergamaschi,1
1775,marco,1
2179,immateri,1
2174,interpret,1
1776,lami,1
2102,carrier,1
1781,proport,1
1779,anytim,1
1780,fit,1
1736,partli,1
1682,pietrelcina,1
2030,undergon,1
2066,telework,1
2079,austrian,1
1700,often,1
1699,disregard,1
1724,promotech,1
2082,gmbh,1
1720,vacant,1
1709,spam,1
1759,σια,1
2055,uniqu,1
2056,quarterli,1
1758,και,1
1757,νικόλαος,1
2088,flyer,1
1710,phish,1
2058,core,1
1756,ιγνατιάδης,1
1711,imposs,1
1712,free,1
1713,kukimbia,1
1743,kutxabank,1
1714,trash,1
1753,produc,1
2060,distancia,1
1752,manufactur,1
1715,near,1
1716,warehous,1
2059,universidad,1
1718,bastida,1
2175,unitel,1
1749,top,1
1717,electrotecnica,1
1748,tip,1
1745,unblock,1
2068,exploit,1
2054,necess,1
2053,instanc,1
2047,lobbi,1
2046,stakehold,1
2180,proven,1
2177,ub,1
2089,bottom,1
1701,registro,1
1723,unsur,1
1770,destroy,1
2087,scroll,1
1769,broker,1
1702,degli,1
1768,makler,1
1767,lugera,1
1703,operatori,1
1704,comunicazion,1
1762,rent,1
2080,rew,1
1722,stockhunt,1
2062,distanc,1
2048,foreseen,1
1707,mani,1
2061,madrid,1
2064,reliabl,1
1765,alway,1
2050,convict,1
2176,bratseth,1
1708,contractor,1
2051,restrain,1
2052,everyon,1
1766,zero,1
2009,psychiatr,1
2172,qualiti,1
1881,entireti,1
1968,great,1
1869,alava,1
1870,nort,1
1871,facad,1
1967,usa,1
1872,desolasol,1
1873,restauración,1
1966,abroad,1
1965,croatia,1
1964,croatian,1
1963,significantli,1
2138,aggravatingli,1
1962,exceed,1
1875,tabl,1
1876,volum,1
1877,music,1
1878,tecnomed,1
2139,remedi,1
1960,focus,1
1957,worker,1
1956,misfil,1
1969,britain,1
1866,exclus,1
1862,bureau,1
1854,unawar,1
1980,monthli,1
1979,decad,1
1978,youtub,1
1977,disciplinari,1
2129,formal,1
1850,comercială,1
1851,română,1
1852,enforc,1
1853,aris,1
1976,bolzano,1
1860,prosecutor,1
1856,subsidi,1
1975,solut,1
1974,moment,1
1973,perman,1
1972,forese,1
1857,cp,1
1971,etc,1
1858,sick,1
1970,netherland,1
1880,implant,1
2160,max,1
2128,italia,1
1882,solidar,1
1895,specialist,1
1935,film,1
1933,lokaltrafik,1
2155,underli,1
2154,inadvert,1
1932,storstockholm,1
1931,welcom,1
1930,vejl,1
2153,chart,1
1928,sort,1
2152,odens,1
1927,field,1
1926,mandatori,1
1921,asa,1
2076,presenc,1
1920,brabank,1
1919,legisl,1
1918,outsourc,1
1917,similarli,1
2146,hat,1
2149,dpo,1
1894,vergata,1
2156,unlimit,1
1893,tor,1
1886,profess,1
1883,dopaka,1
1952,combin,1
1951,annex,1
1950,rygg,1
1948,correctli,1
1947,tnt,1
1946,cpce,1
1884,tavro,1
1885,moschato,1
1945,liberté,1
1892,policlinico,1
1944,et,1
1943,informatiqu,1
1942,loi,1
2159,pro,1
1890,κariera,1
1937,contribut,1
2158,iphon,1
2157,packag,1
1891,fondazion,1
1846,patholog,1
2127,flowbird,1
2023,campaign,1
1817,branch,1
2013,interven,1
2011,man,1
1803,budapest,1
1804,rapid,1
1805,excel,1
2010,dissemin,1
1808,plugin,1
1809,iceland,1
1810,persónuvernd,1
1811,infomentor,1
1812,ehf,1
2150,commensur,1
2008,questionnair,1
2171,read,1
2007,pdf,1
2113,passersbi,1
2006,manipul,1
2114,look,1
2005,thereaft,1
2004,attent,1
1815,mentor,1
2014,scene,1
2109,hide,1
2015,face,1
1795,belgium,1
1788,movement,1
1789,unintent,1
1790,mediacom,1
1791,legitimaci,1
1792,spa,1
1793,onedirect,1
1794,queri,1
2022,canvass,1
2106,shall,1
1797,advantag,1
1802,xi,1
2107,automecanica,1
1799,parkkip,1
2108,jerez,1
2020,sgam,1
2019,reus,1
2018,easi,1
2016,pixel,1
1800,oy,1
1801,disput,1
1816,overijssel,1
1819,conven,1
2163,nrk,1
2115,window,1
1831,locker,1
1832,nurs,1
1833,επιλογη,1
1990,disproportion,1
1834,ιδιωτικη,1
1835,κεφαλαιουχικη,1
1989,optim,1
1988,smoke,1
1836,εταιρεια,1
1837,cyfrowi,1
1987,accid,1
1838,polsat,1
2121,inelig,1
2122,benefit,1
1986,head,1
2123,hardship,1
1985,extraordinari,1
2124,capital,1
1984,us,1
1983,elimin,1
1982,navig,1
1991,eight,1
1992,workbook,1
1993,seeker,1
2001,invit,1
2116,lombardi,1
2170,charact,1
1821,solram,1
1822,r,1
1823,castellanza,1
2118,textbook,1
1825,allianz,1
2169,optic,1
1826,compañia,1
2000,pseudonym,1
1830,restroom,1
2167,booth,1
1827,seguro,1
2119,teach,1
1998,viewabl,1
1996,chariti,1
2165,ring,1
1828,reaseguro,1
1995,transgend,1
1829,motorcycl,1
2075,saxoni,1
0,bgn,1
1681,da,1
901,luce,1
860,audienc,1
862,ecj,1
865,analyt,1
875,brought,1
888,sc,1
890,contravent,1
891,lei,1
892,equival,1
893,supervisor,1
895,gppr,1
897,eshop,1
898,opt,1
900,eni,1
902,egl,1
760,game,1
905,telesal,1
906,amongst,1
909,trigger,1
916,content,1
921,receipt,1
925,paper,1
928,cold,1
932,blacklist,1
946,traine,1
947,radiologist,1
951,sapienza,1
952,università,1
954,whisleblow,1
859,speak,1
856,news,1
849,waiver,1
847,militari,1
762,malfunct,1
773,backdoor,1
774,steal,1
775,player,1
776,apropri,1
779,cardhold,1
780,serial,1
781,authoris,1
791,deficit,1
799,doubl,1
806,bfdi,1
807,aw,1
808,systemat,1
810,scale,1
811,bonn,1
812,unreason,1
813,chamber,1
815,reduct,1
817,unobject,1
820,culpabl,1
824,massiv,1
826,relationsid,1
834,solicit,1
835,household,1
838,vat,1
842,nusvar,1
844,swede,1
958,emphasi,1
960,corpor,1
961,banner,1
1067,defend,1
